# --
"%1x %2 = %3","%1x de %2 = %3"
"%1x %2 = %3 (%4% off)","%1x de %2 = %3 (%4% off)"
"%1x %2 = %3 (c/ interest of %4% a.m.)","%1x de %2 = %3 (c/ juros de %4% a.m.)"

# -- A
"Applied over already converted value.","Aplicado sobre o valor convertido."

# -- B
"Bar Code","Código de barras"

# -- C
"Credit Card","Cartão de crédito"
"Credit Card Type", "Bandeira do cartão"
"Card Holder Name","Titular do cartão"
"Credit Card Number","Número do cartão"
"Credit Card CVV","Cód. segurança"
"Contact your Account Manager or PayU Support.","Contate seu Gerente ou o Suporte PayU."

# -- D
"Discount first installment","Desconto à vista"
"Documentation","Documentação"

# -- E
"Error","Erro"
"Eloom PayU Wrong transaction status.","O sistema não obteve um status válido de transação da PayU."

# -- G
"Generate invoice when confirming payment?","Gerar fatura ao confirmar o pagamento?"

# -- H
"here","aqui"
"Holder Another","Cartão pertence a outra pessoa"
"Holder dniNumber","CPF do titular"
"Holder Phone","Telefone"

# -- I
"Interest","Juros"
"Interest (a.m.)","Juros (a.m.)"
"Installments","Parcelas"
"Installment ranges","Faixas do parcelamento"
"In %1x of %2","Em %1x de %2"
"Interest options","Opções de juros"
"<strong>Installments options</strong>","<strong>Opções de parcelamento</strong>"
"Issuing bank","Banco emissor"
"Invoice options","Opções de fatura"
"Invalid response platform payment.","O sistema não obteve resposta da plataforma de pagamento."
"Integration options","Opções de integração"
"Installed version","Versão instalada"

# -- L
"Last Credit Card Number","Cartão"

# -- M
"Merchant pays interest","Lojista assume os juros"
"Months without interest","Meses sem juros"
"More info <a href=""https://docs.eloom.tech/payment/payu-latam/customization"" target=""_blank"">here</a>.","Mais informações <a href=""https://docs.eloom.tech/pt/payu/customization"" target=""_blank"">aqui</a>."
"More info <a href=""https://docs.eloom.tech/payment/payu-latam/configuration"" target=""_blank"">here</a>.","Mais informações <a href=""https://docs.eloom.tech/pt/payu/configuration"" target=""_blank"">aqui</a>."
"MM/AA","MM/AA"

# -- N
"Not sure what PayU payment method to use? Click ","Não tem certeza de qual método de pagamento PayU usar? Clique"

# -- O
"Order %1","Pedido %1"

# -- P
"Paying via","Pagando via"
"PayU - General Settings","PayU - Configurações Gerais"
"PayU - Credit Card Settings","PayU - Cartão de Crédito"
"Payment from applicable countries","Pagamento para Países Selecionados"
"Payment from Specific countries","Pagamento para Países Específicos"
"Payment option","Opção de pagamento"
"Public Key","Chave Pública"
"Pay With","Pago com"
"PayU Order ID","Número do pedido"
"PayU Transaction ID","Identificador da transação"
"Production","Produção"
"Process Payment","Pagar"
"Processing...","Processando..."
"Payment method nonce can't be retrieved.","O método de pagamento não pode ser recuperado."
"PayU - Vault","PayU - Tokenização"
"Payer pays interest", "Lojista repassa os juros"

# -- S
"Save for later use.","Salvar para compras futuras."
"Sending information to the payment system.","Enviando informações ao sistema de pagamento."
"Syncronize","Sincronizar"
"Stored Cards","Cartão de crédito armazenado"
"Store in Sandbox mode. Orders with no commercial value.","Loja em modo Sandbox. Compra sem valor comercial."

# -- T
"Transaction State","Status"
"Transaction.State.APPROVED","Aprovada pelo banco"
"Transaction.State.DECLINED","Recusanda pelo banco"
"Transaction.State.ERROR","Erro processando a transação"
"Transaction.State.EXPIRED","Expirada"
"Transaction.State.PENDING","Aguardando pagamento"
"Transaction.State.SUBMITTED","Transação enviada para a entidade financeira e por algum motivo não terminou seu processamento"
"Transaction.State.CANCELLED","Cancelada"
"Taxvat is required","O campo CPF / CNPJ não está presente ou não foi preenchido."
" to learn more."," para saber mais."
"Transaction in test mode?","Transação em modo teste?"
"Transaction in test mode. Orders with no commercial value.","Transação em modo test. Compra sem valor comercial."

# -- U

# -- V
